identifier,name,date
sha0262,"Treaty with the Shawnee,",1825
cre1034,"Agreement with the Creeks,",1825
cre0264,"Treaty with the Creeks,",1826
chi0268,"Treaty with the Chippewa,",1826
pot0273,"Treaty with the Potawatomi,",1826
mia0278,"Treaty with the Miami,",1826
chi0281,"Treaty with the Chippewa, etc.,",1827
pot0283,"Treaty with the Potawatomi,",1827
cre0284,"Treaty with the Creeks,",1827
mia0286,"Treaty with the Miami,",1828
Che0288,"Treaty with the Western Cherokee,",1828
win0292,"Treaty with the Winnebago, etc.,",1828
pot0294,"Treaty with the Potawatomi,",1828
chi0297,"Treaty with the Chippewa, etc.,",1829
win0300,"Treaty with the Winnebago,",1829
del0303,"Treaty with the Delawares,",1829
del0304,"Treaty with the Delawares,",1829
sau0305,"Treaty with the Sauk and Foxes,etc.,",1830
cho0310,"Treaty with the Choctaw,",1830
chi1035,"Treaty with the Chickasaw,",1830
men0319,"Treaty with the Menominee,",1831
men0323,"Treaty with the Menominee,",1831
sen0325,"Treaty with the Seneca,",1831
sen0327,"Treaty with the Seneca, etc.,",1831
sha0331,"Treaty with the Shawnee,",1831
ott0335,"Treaty with the Ottawa,",1831
wya0339,"Treaty with the Wyandot,",1832
cre0341,"Treaty with the Creeks,",1832
sem0344,"Treaty with the Seminole,",1832
win0345,"Treaty with the Winnebago,",1832
sau0349,"Treaty with the Sauk and Foxes,",1832
app0352,"Treaty with the Appalachicola Band,",1832
pot0353,"Treaty with the Potawatomi,",1832
chi0356,"Treaty with the Chickasaw,",1832
chi0362,"Treaty with the Chickasaw,",1832
kic0365,"Treaty with the Kickapoo,",1832
pot0367,"Treaty with the Potawatomi,",1832
sha0370,"Treaty with the Shawnee,etc.,",1832
pot0372,"Treaty with the Potawatomi,",1832
kas0376,"Treaty with the Kaskaskia, etc.,",1832
men0377,"Treaty with the Menominee,",1832
pia0382,"Treaty with the Piankashaw and Wea,",1832
sen0383,"Treaty with the Seneca and Shawnee,",1832
Che0385,"Treaty with the Western Cherokee,",1833
cre0388,"Treaty with the Creeks,",1833
ott0392,"Treaty with the Ottawa,",1833
sem0394,"Treaty with the Seminole,",1833
qua0395,"Treaty with the Quapaw,",1833
app0398,"Treaty with the Appalachicola Band,",1833
oto0400,"Treaty with the Oto and Missouri,",1833
chi0402,"Treaty with the Chippewa, etc.,",1833
paw0416,"Treaty with the Pawnee,",1833
chi0418,"Treaty with the Chickasaw,",1834
mia0425,"Treaty with the Miami,",1834
pot0428,"Treaty with the Potawatomi,",1834
pot0429,"Treaty with the Potawatomi,",1834
pot0430,"Treaty with the Potawatomi,",1834
pot0431,"Treaty with the Potawatomi,",1834
cad0432,"Treaty with the Caddo,",1835
com0435,"Treaty with the Comanche, etc.,",1835
che0439,"Treaty with the Cherokee,",1835
pot0450,"Treaty with the Potawatomi,",1836
ott0450,"Treaty with the Ottawa,etc.,",1836
pot0457,"Treaty with the Potawatomi,",1836
pot0457a,"Treaty with the Potawatomi,",1836
pot0458,"Treaty with the Potawatomi,",1836
pot0459,"Treaty with the Potawatomi,",1836
wya0460,"Treaty with the Wyandot,",1836
chi0461,"Treaty with the Chippewa,",1836
pot0462,"Treaty with the Potawatomi,",1836
men0463,"Treaty with the Menominee,",1836
sio0466,"Treaty with the Sioux,",1836
iow0468,"Treaty with the Iowa, etc.,",1836
pot0470,"Treaty with the Potawatomi,",1836
pot0471,"Treaty with the Potawatomi,",1836
pot0471a,"Treaty with the Potawatomi,",1836
sau0473,"Treaty with the Sauk and Fox Tribe,",1836
sau0474,"Treaty with the Sauk and Foxes,",1836
sau0476,"Treaty with the Sauk and Foxes,",1836
oto0479,"Treaty with the Oto, etc.,",1836
sio0481,"Treaty with the Sioux,",1836
chi0482,"Treaty with the Chippewa,",1837
Chi0486,"Treaty with the Choctaw and Chickasaw,",1837
pot0488,"Treaty with the Potawatomi,",1837
kio0489,"Treaty with the Kiowa, etc.,",1837
chi0491,"Treaty with the Chippewa,",1837
sio0493,"Treaty with the Sioux,",1837
sau0495,"Treaty with the Sauk and Foxes,",1837
yan0496,"Treaty with the Yankton Sioux,",1837
sau0497,"Treaty with the Sauk and Foxes,",1837
win0498,"Treaty with the Winnebago,",1837
iow0500,"Treaty with the Iowa,",1837
chi0501,"Treaty with the Chippewa,",1837
new0502,"Treaty with the NewYork Indians,",1838
chi0516,"Treaty with the Chippewa,",1838
one0517,"Treaty with the Oneida,",1838
iow0518,"Treaty with the Iowa,",1838
mia0519,"Treaty with the Miami,",1838
cre0524,"Treaty with the Creeks,",1838
osa0525,"Treaty with the Osage,",1839
chi0528,"Treaty with the Chippewa,",1839
sto0529,"Treaty with the Stockbridge and Munsee,",1839
mia0531,"Treaty with the Miami,",1840
wya0534,"Treaty with the Wyandot,",1842
sen0537,"Treaty with the Seneca,",1842
chi0542,"Treaty with the Chippewa,",1842
sau0546,"Treaty with the Sauk and Foxes,",1842
del1048,"Agreement with the Delawares and Wyandot,",1843
cre0550,"Treaty with the Creeks and Seminole,",1845
kan0552,"Treaty with the Kansa Tribe,",1846
com0554,"Treaty with the Comanche,Aionai, Anadarko, Caddo, etc.,",1846
pot0557,"Treaty with the Potawatomi Nation,",1846
che0561,"Treaty with the Cherokee,",1846
win0565,"Treaty with the Winnebago,",1846
chi0567,"Treaty with the Chippewa of the Mississippi and Lake Superior,",1847
pil0569,"Treaty with the Pillager Band of Chippewa Indians,",1847
paw0571,"Treaty with the Pawnee - Grand, Loups, Republicans, etc.,",1848
men0572,"Treaty with the Menominee,",1848
sto0574,"Treaty with the Stockbridge Tribe,",1848
nav0583,"Treaty with the Navaho,",1849
uta0585,"Treaty with the Utah,",1849
wya0587,Treaty with the Wyandot,1850
sio0588,"Treaty with the Sioux-Sisseton and Wahpeton Bands,",1851
sio0591,"Treaty with the Sioux-Mdewakanton and Wahpakoota Bands,",1851
sio0594,"Treaty of Fort Laramie with Sioux, etc.,",1851
chi0596,"Treaty with the Chickasaw,",1852
apa0598,"Treaty with the Apache,",1852
com0600,"Treaty with the Comanche, Kiowa, and Apache,",1853
rog1049,"Agreement with the Rogue River,",1853
rog0603,"Treaty with the Rogue River,",1853
ump0606,"Treaty with the Umpqua-Cow Creek Band,",1853
oto0608,"Treaty with the Oto and Missouri,",1854
oma0611,"Treaty with the Omaha,",1854
del0614,"Treaty with the Delawares,",1854
sha0618,"Treaty with the Shawnee,",1854
men0626,"Treaty with the Menominee,",1854
iow0628,"Treaty with the Iowa,",1854
sau0631,"Treaty with the Sauk and Foxes of Missouri,",1854
kic0634,"Treaty with the Kickapoo,",1854
kas0636,"Treaty with the Kaskaskia, Peoria, etc.,",1854
mia0641,"Treaty with the Miami,",1854
cre0647,"Treaty with the Creeks,",1854
chi0648,"Treaty with the Chippewa,",1854
cho0652,"Treaty with the Choctaw and Chickasaw,",1854
rog0654,"Treaty with the Rogue River,",1854
cha0655,"Treaty with the Chasta, etc.,",1854
ump0657,"Treaty with the Umpqua and Kalapuya,",1854
con0660,"Treaty with the Confederated Oto and Missouri,",1854
nis0661,"Treaty with the Nisqualli, Puyallup, etc.,",1854
kal0665,"Treaty with the Kalapuya, etc.,",1855
dwa0669,"Treaty with the Dwamish, Suquamish, etc.,",1855
skl0674,"Treaty with the S'klallam,",1855
wya0677,"Treaty with the Wyandot,",1855
mak0682,"Treaty with the Makah,",1855
chi0685,"Treaty with the Chippewa,",1855
win0690,"Treaty with the Winnebago,",1855
wal0694,"Treaty with the Wallawalla, Cayuse, etc.,",1855
yak0698,"Treaty with the Yakima,",1855
nez0702,"Treaty with the Nez Perces,",1855
cho0706,"Treaty with the Choctaw and Chickasaw,",1855
tri0714,"Treaty with the Tribes of Middle Oregon,",1855
qui0719,"Treaty with the Quinaielt, etc.,",1855
fla0722,"Treaty with the Flatheads, etc.,",1855
ott0725,"Treaty with the Ottawa and Chippewa,",1855
sau0732,"Treaty with the Chippewa of Sault Ste. Marie,",1855
chi0733,"Treaty with the Chippewa of Saginaw, etc.,",1855
bla0736,"Treaty with the Blackfeet,",1855
mol0740,"Treaty with the Molala,",1855
sto0742,"Treaty with the Stockbridge and Munsee,",1856
men0755,"Treaty with the Menominee,",1856
cre0756,"Treaty with the Creeks, etc.,",1856
paw0764,"Treaty with the Pawnee,",1857
sen0767,"Treaty with the Seneca, Tonawanda Band,",1857
pon0772,"Treaty with the Ponca,",1858
yan0776,"Treaty with the Yankton Sioux,",1858
sio0781,"Treaty with the Sioux,",1858
sio0785,"Treaty with the Sioux,",1858
win0790,"Treaty with the Winnebago,",1859
chi0792,"Treaty with the Chippewa, etc.,",1859
sau0796,"Treaty with the Sauk and Foxes,",1859
kan0800,"Treaty with the Kansa Tribe,",1859
del0803,"Treaty with the Delawares,",1860
ara0807,"Treaty with the Arapaho and Cheyenne,",1861
sau0811,"Treaty with the Sauk and Foxes, etc.,",1861
del0814,"Treaty with the Delawares,",1861
pot0824,"Treaty with the Potawatomi,",1861
kan0829,"Treaty with the Kansa Indians,",1862
ott0830,"Treaty with the Ottawa of Blanchard's Fork and Roche de Boeuf,",1862
kic0835,"Treaty with the Kickapoo,",1862
chi0839,Treaty with the Chippewa of the Mississippi and the Pillager and,1863
chi0839,"Lake Winnibigoshish Bands,",1863
nez0843,"Treaty with the Nez Perces,",1863
sho0848,"Treaty with the Eastern Shoshoni,",1863
sho0850,"Treaty with the Shoshoni-Northwestern Bands,",1863
sho0851,"Treaty with the Western Shoshoni,",1863
chi0853,"Treaty with the Chippewa-Red Lake and Pembina Bands,",1863
uta0856,"Treaty with the Utah-Tabeguache Band,",1863
sho0859,"Treaty with the Shoshoni-Goship,",1863
chi0861,"Treaty with the Chippewa - Red Lake and Pembina Bands,",1864
chi0862,"Treaty with the Chippewa, Mississippi, and Pillager and Lake",1864
chi0862,"Winnibigoshish Bands,",1864
kla0865,"Treaty with the Klamath, etc.,",1864
chi0868,"Treaty with the Chippewa of Saginaw, Swan Creek, and Black River,",1864
oma0872,"Treaty with the Omaha,",1865
win0874,"Treaty with the Winnebago,",1865
pon0875,"Treaty with the Ponca,",1865
sna0876,"Treaty with the Snake,",1865
osa0878,"Treaty with the Osage,",1865
sio0883,"Treaty with the Sioux-Miniconjou Band,",1865
sio0885,"Treaty with the Sioux-Lower Brule Band,",1865
che1050,Agreement with the Cherokee and Other Tribes in the Indian,1865
che1050,"Territory,",1865
che0887,"Treaty with the Cheyenne and Arapaho,",1865
apa0891,"Treaty with the Apache, Cheyenne, and Arapaho,",1865
com0892,"Treaty with the Comanche and Kiowa,",1865
sio0896,"Treaty with the Sioux-Two-Kettle Band,",1865
bla0898,"Treaty with the Blackfeet Sioux,",1865
